DyadID,ParticipantID,TrialNum,ClickTime_s,Clicked
1230807,1,1,43.779804,1
1230807,1,2,29.236968,1
1230807,1,3,21.962952,1
1230807,1,4,35.738758,1
1230807,1,5,41.078690,1
1230807,1,6,34.749776,1
1230807,1,7,34.081150,1
1230807,1,8,33.251158,1
1230807,1,9,56.071118,1
1230807,1,10,NaN,0
1230807,1,11,19.117182,1
1230807,1,12,25.154054,1
1230807,1,13,40.717078,1
1230807,1,14,45.160980,1
1230807,1,15,38.566516,1
1230807,1,16,37.757743,1
1230807,1,17,53.497843,1
1230807,1,18,51.766665,1
1230807,2,1,44.793594,1
1230807,2,2,41.037020,1
1230807,2,3,38.460644,1
1230807,2,4,51.942751,1
1230807,2,5,25.481678,1
1230807,2,6,34.769182,1
1230807,2,7,39.020910,1
1230807,2,8,39.602041,1
1230807,2,9,54.903871,1
1230807,2,10,29.697077,1
1230807,2,11,NaN,0
1230807,2,12,16.886818,1
1230807,2,13,52.183050,1
1230807,2,14,37.187426,1
1230807,2,15,24.846432,1
1230807,2,16,36.908226,1
1230807,2,17,19.053864,1
1230807,2,18,40.698066,1
2230809,1,1,49.873295,1
2230809,1,2,NaN,0
2230809,1,3,37.548966,1
2230809,1,4,19.245694,1
2230809,1,5,45.274847,1
2230809,1,6,25.127674,1
2230809,1,7,23.329744,1
2230809,1,8,23.816536,1
2230809,1,9,18.580084,1
2230809,1,10,34.792031,1
2230809,1,11,31.951806,1
2230809,1,12,23.795849,1
2230809,1,13,26.998072,1
2230809,1,14,28.227643,1
2230809,1,15,22.617641,1
2230809,1,16,39.919561,1
2230809,1,17,28.449140,1
2230809,1,18,9.649953,1
2230809,2,1,51.935266,1
2230809,2,2,12.313460,1
2230809,2,3,37.396650,1
2230809,2,4,18.994741,1
2230809,2,5,37.485736,1
2230809,2,6,28.655534,1
2230809,2,7,18.256628,1
2230809,2,8,18.263886,1
2230809,2,9,15.347654,1
2230809,2,10,34.519584,1
2230809,2,11,53.991476,1
2230809,2,12,NaN,0
2230809,2,13,47.195701,1
2230809,2,14,31.483136,1
2230809,2,15,22.656977,1
2230809,2,16,52.159784,1
2230809,2,17,28.098510,1
2230809,2,18,15.421783,1
3230814,1,1,24.015276,1
3230814,1,2,55.497887,1
3230814,1,3,22.741431,1
3230814,1,4,46.866350,1
3230814,1,5,33.150417,1
3230814,1,6,56.896204,1
3230814,1,7,NaN,0
3230814,1,8,31.229384,1
3230814,1,9,56.300141,1
3230814,1,10,56.598098,1
3230814,1,11,7.392718,1
3230814,1,12,24.170120,1
3230814,1,13,33.579162,1
3230814,1,14,47.011508,1
3230814,1,15,27.918709,1
3230814,1,16,4.448261,1
3230814,1,17,15.461476,1
3230814,1,18,3.868528,1
3230814,2,1,50.032544,1
3230814,2,2,20.458634,1
3230814,2,3,14.151291,1
3230814,2,4,55.036248,1
3230814,2,5,27.118158,1
3230814,2,6,16.734525,1
3230814,2,7,5.090071,1
3230814,2,8,22.505279,1
3230814,2,9,21.540281,1
3230814,2,10,23.823582,1
3230814,2,11,13.308685,1
3230814,2,12,8.727409,1
3230814,2,13,40.570640,1
3230814,2,14,NaN,0
3230814,2,15,13.460196,1
3230814,2,16,8.202197,1
3230814,2,17,23.659826,1
3230814,2,18,18.918905,1
4230816,1,1,32.396576,1
4230816,1,2,56.447275,1
4230816,1,3,50.273867,1
4230816,1,4,48.456180,1
4230816,1,5,7.774625,1
4230816,1,6,23.152256,1
4230816,1,7,32.926396,1
4230816,1,8,48.472422,1
4230816,1,9,31.788143,1
4230816,1,10,47.386748,1
4230816,1,11,NaN,0
4230816,1,12,24.990833,1
