ROI,tau_opt,A_uV,B_uV,R2,RMSE_uV,n_fit
Prefrontal,9.9,-76.22593955592235,-25.353003538090377,0.6372954114177992,1.6878426783950964,477
Frontal,5.2,-128.56042340630117,-16.807234586995353,0.5391402162704879,3.4884634368267133,524
Fronto-Central,10.3,-56.73554642287841,-1.5368100926866475,0.7945276495062554,0.8468464572541728,473
Central,9.1,-69.14600819685475,-3.199602938941835,0.7153804929019596,1.280107519773073,485
Centro-Parietal,5.5,-51.63753819294541,7.343869885257082,0.7390725453385871,0.9004844349498701,521
Parietal,3.9000000000000004,-62.31964332693569,11.118175263085044,0.8498863403406118,0.7604052305666463,536
Occipital,0.0,-64.72773347420765,12.972493403370647,0.6839171013840991,1.035067989668833,551
