trial_time,exponent_mean,exponent_sem
4.0,0.9589765140657617,0.046706349715563894
6.0,1.0005276097016687,0.04410165196003767
8.0,1.0110030639494119,0.0437995999880467
10.0,1.0228027198925977,0.04291500411503688
12.0,1.0353414593388754,0.04184617030532816
14.0,1.026281601343975,0.04147269585487695
16.0,1.0301402940843203,0.04320284231772099
18.0,1.0525419930527191,0.042353940593790336
20.0,1.048044081862002,0.044218627869017306
22.0,1.0607547004414488,0.04070488238338462
24.0,1.050692738068201,0.04103853567821997
26.0,1.0578791148042352,0.04118259232063582
28.0,1.0669564151192263,0.03843668761359725
30.0,1.0721710704354563,0.03746010334310577
32.0,1.0570806672827606,0.03974569848481109
34.0,1.0535252500563643,0.041384468521978544
36.0,1.0481475726457967,0.043533099781054456
38.0,1.044390099291542,0.04203091189454681
40.0,1.0433393416792847,0.04191500054892285
42.0,1.0446376829975026,0.04180998716158746
44.0,1.0387485297258647,0.04086644468616128
46.0,1.0415823622348563,0.04073748330517987
48.0,1.0556289330943216,0.04109587500790087
50.0,1.0252874348494165,0.04516621283138621
52.0,1.0237971233039995,0.043557519449208264
54.0,1.0351224663700958,0.0435096194020085
56.0,1.0190758492589738,0.045172229566797846
