dyad,pid,r_hR_full,r_hL_full,xc_peak_full,xc_lag_full,PLV_full,dphi_mu_full,r_hR_pre,r_hL_pre,xc_peak_pre,xc_lag_pre,PLV_pre,dphi_mu_pre,r_hR_post,r_hL_post,xc_peak_post,xc_lag_post,PLV_post,dphi_mu_post
1,1,-0.5735672151905099,-0.33975955264693314,-0.5735672151905105,0.0,0.9509445858354902,-0.009460106083624277,-0.7839934944870041,-0.6366680941924419,-0.7839934944870036,0.0,0.8974748972349217,0.047909279331619356,0.010618016132171752,0.011698491342334215,-0.4733010915926359,-3.1,0.9705624610668094,0.00019989358534273157
1,2,0.02472338944601395,0.05015450385589868,-0.3003360560298183,3.5,0.4359641921151802,0.22705453245718313,-0.12717836963604096,-0.3212480454303796,0.8731495205922142,-2.9,0.48207691862632895,0.11743007040812481,0.007819942518370428,0.16416786002298303,-0.4074547198002405,3.7,0.44581035668606944,0.2776116150294184
2,1,0.04379992410335613,-0.04220624898031409,0.521380797622127,-7.8,0.8255997676639745,-0.11603096022832861,0.44612007835450296,0.26950668042457704,-0.5526082733953398,6.9,0.7515388644265216,-0.21553367367789983,-0.2789527980471558,0.5362745574628242,-0.5641006297617852,-6.5,0.8890034103774661,0.006131978551942733
2,2,0.4183059481665671,0.46977643264623875,-0.4805844501631037,8.6,0.9488114081704206,0.03467243328798372,-0.12637883157825106,-0.19489981830895795,-0.5829086574937778,9.5,0.927912483350406,0.0697778609530774,0.47562748320780834,0.4837287949036889,0.7145561798972041,-2.4,0.9831953313852911,0.12607850998466197
3,1,-0.246129111598983,-0.4208243395468576,0.6107372803020289,8.8,0.7872109522732651,0.07629625857864533,-0.36304892634242486,-0.45172376394555186,-0.6538967985818682,2.5,0.9237460846456443,-0.03572476535488902,-0.4149940860638795,-0.42019725614484293,0.8588234295205744,9.4,0.7500884915832928,0.09569522569711857
3,2,0.18374575314976488,0.031932144959210235,-0.4084220610041707,-6.9,0.9689006832385081,-0.0024289724930263157,0.797169719236505,0.8750509231967593,0.7971697192365053,0.0,0.8870188123575122,-0.008650332629103762,-0.04562297735550862,-0.5544511982285691,-0.7334442378505506,-6.7,0.978524797608451,-0.00043929180103941846
4,1,-0.3087407932924553,-0.18804518325406744,-0.4085985337866626,-9.7,0.10395597900473173,0.7909560305501607,-0.036301532996715936,0.08342305616359687,0.5151934660610906,2.0,0.7912675965771834,0.18602251490755148,-0.13181630642161965,0.0464084319616824,-0.6411280396915897,-10.0,0.5374917846571184,-2.9856176787995063
4,2,-0.43585880240970676,-0.4299695697101668,-0.6186820719990097,-4.8,0.6949508537437329,0.26278351890284146,-0.32463017775707437,0.029055488780958146,-0.8029573962389029,-3.9,0.651185377064486,0.41049047113462933,0.043634581141089056,-0.2701885708162408,-0.6030556069899397,-8.7,0.7209152548321829,-0.129561126910216
5,1,-0.21925401410011033,0.10345841218163433,-0.3878815309734439,-2.4,0.37571549336474963,0.030398263796049884,0.4085394415277413,-0.3263867710373316,0.5541307562631087,1.6,0.29433417990575583,2.434418142494739,-0.6128084109863592,0.09023142099394989,-0.6230385560127842,-0.7,0.6634147102234768,-0.03464146407632373
5,2,-0.2633782256619988,0.5391899203894184,-0.6396288413599599,5.4,0.1473163216593431,-0.9789151824173811,-0.4856555042988284,-0.3977177382506207,0.5750876272334088,6.0,0.25094314961209996,0.7898830480385909,-0.09593629911327455,0.28315063042286054,0.7095010785795904,-8.5,0.5522756028548812,-0.015756718563115706
6,1,-0.015342462834651724,0.07682258646975262,0.5189798443516748,7.0,0.9107974668590957,0.15237075175309994,0.4034204881868617,0.41644935721672294,0.5803585704033253,-2.1,0.9701828256529909,0.04030969296344559,0.0801008667820585,0.022119913862936443,0.36898071037647906,-2.6,0.9797742260665807,0.18832471628753855
6,2,0.2690548547894723,0.11351682810375524,0.26905485478947166,0.0,0.24927428027751714,0.1348930310627742,0.8086073069818598,0.506424273474394,0.8086073069818593,0.0,0.06126898219936547,-2.0296784670806525,-0.42599399403709015,-0.22712305269215918,-0.5807809457867203,1.9,0.339015145744546,-0.006836936192264205
7,1,-0.5887326956235929,-0.6313631354697241,-0.6141894100102087,-0.8,0.60152572702048,0.386189682264624,-0.7071265665805947,-0.8536771891262205,0.7902612054446029,-5.7,0.6819478733265114,-0.1717481303155215,0.029637467418559403,0.06843446625376852,-0.6199862181987497,-2.8,0.5513167610909473,0.43145230018936775
7,2,-0.4230033791566636,-0.44628146903831906,0.45853580221284357,6.1,0.9647010205834966,-0.00027447912868945747,-0.048972151898157366,0.04848520641672751,0.8003693994680575,-7.4,0.9729389035088052,-0.0011668599969652665,-0.4518598457325215,-0.5050840024549027,0.6939307025103697,8.9,0.9636444653842774,-0.0003152001070903077
8,1,0.4884155928358064,0.6465541076960665,0.6422141121130991,2.5,0.7880112117760343,0.4343814718261201,0.3060940341875134,0.2658747630481702,0.8282969035256766,3.3,0.86939339673707,0.10039874598636539,0.0039505375994766875,0.7806090056724452,0.41823100465059804,4.3,0.6962132702468682,0.7147256112051796
8,2,0.6758534383318755,0.3462664790279695,0.6883487352888839,-0.7,0.8511604727810711,0.14300813208734361,-0.5232763154263281,-0.6684607309996626,-0.6279178775273762,1.8,0.9364208899510099,0.36730473447163986,-0.5663048626269972,-0.5415745193498007,0.6362587650165551,-5.0,0.795938740954645,-0.016361579077487275
