ROI,n_part,A_uV,B_uV,R2,RMSE_uV,n_fit
Prefrontal,62,-163.59233128814586,-14.365659428385538,0.587274437656854,4.024975943036192,537
Frontal,62,-149.21275318020724,-14.174317186342662,0.5358481298291196,4.075729463032293,537
Fronto-Central,62,-83.89914418388311,2.163505460403765,0.6577623046491456,1.776139914178334,537
Central,62,-104.9215243199774,1.5259997356660893,0.6209698116934412,2.405783050143447,537
Centro-Parietal,62,-53.66343645770672,7.683487343798978,0.6912526358535689,1.0525722638295343,537
Parietal,62,-61.81169058300983,11.061343146213753,0.8487446444270109,0.7658217409002241,537
Occipital,62,-51.93771366957016,11.383583780870897,0.6768746192993862,1.053184506282556,537
