t_s,f_all,f_nostatic,f_avatar,f_moving,f_moving_reassigned,f_moving_augmented
0,0.00497558055070405,0.00449122175783686,0.00347723045544744,0.00374756692686804,0.0041500795630272,0.00390856913731537
0.120240480961924,0.00497682389123509,0.00449245233696913,0.00347873440214534,0.00374878203344432,0.00415152966484734,0.00391004658255304
0.240480961923848,0.00498038619644348,0.00449595482717885,0.00348241480303694,0.00375232441354721,0.00415557479279443,0.00391418851628803
0.360721442885772,0.00498603251182755,0.00450146785655376,0.00348821962049335,0.00375812602590365,0.00416221767409043,0.00392099748051176
0.480961923847695,0.0049939572405907,0.00450920991653996,0.00349630880037126,0.00376619499098406,0.00417166305107749,0.00393051697352922
0.601202404809619,0.0050041162320084,0.00451913016217762,0.00350675250031274,0.00377653382199602,0.0041835599380356,0.00394261618312959
0.721442885771543,0.00501659117019296,0.00453123605449754,0.00351949016347526,0.00378933175239422,0.00419805124777153,0.00395746433790103
0.841683366733467,0.00503131406744156,0.00454553105189477,0.00353447372119542,0.00380431694173743,0.00421502201715134,0.00397493656397753
0.961923847695391,0.00504825430936347,0.00456217823861498,0.00355176439605591,0.00382149097217186,0.00423470946490586,0.00399514850840163
1.08216432865731,0.00506744294424447,0.00458095183419249,0.00357141812878495,0.00384086985527117,0.0042569492289411,0.00401806082472979
1.20240480961924,0.00508882307548191,0.00460188884652234,0.00359334451308801,0.00386260348378589,0.00428177839050852,0.00404351755077954
1.32264529058116,0.0051125612932608,0.00462493319526986,0.00361764433648956,0.00388669830692192,0.00430922729935462,0.00407161920352099
1.44288577154309,0.00513857028948705,0.00465025384849325,0.00364423201884992,0.00391296291455465,0.00433917563253364,0.00410235585990494
1.56312625250501,0.00516681973846786,0.00467786203648407,0.00367335343837708,0.0039415464262546,0.00437183891224558,0.00413572401780247
1.68336673346693,0.00519734805700358,0.00470762643848825,0.00370459864868611,0.0039724129421702,0.00440695908262064,0.00417178212589648
1.80360721442886,0.00523012469885388,0.00473961527790405,0.00373823977002528,0.00400567585353842,0.00444466968963256,0.00421038377425697
1.92384769539078,0.00526528757170023,0.00477383361095757,0.00377429540692211,0.00404108430271584,0.00448503675981398,0.00425158425057375
2.04408817635271,0.00530274294050352,0.00481038962216832,0.00381278055443014,0.004078928741921,0.00452772939243104,0.00429540841503414
2.16432865731463,0.00534256834114355,0.00484905811256961,0.00385370536128234,0.00411910876351089,0.00457297042567581,0.00434178048682247
2.28456913827655,0.00538455041143179,0.00489010979611945,0.00389688992238633,0.00416136778826525,0.00462086396434583,0.004390784984295
2.40480961923848,0.0054287790606911,0.00493345731139116,0.00394256398392462,0.00420594332890059,0.00467119596241912,0.00444242119377615
2.5250501002004,0.00547534304919998,0.00497886825141728,0.00399052745525693,0.00425288071603001,0.00472409015347326,0.00449646887353503
2.64529058116232,0.00552438184872085,0.00502656532647575,0.00404090814488979,0.00430211300496654,0.00477929341396482,0.00455300514915274
2.76553106212425,0.0055756890909261,0.00507659468762108,0.00409380912104611,0.00435371401942322,0.00483705921408135,0.00461205169436316
2.88577154308617,0.00562929916594332,0.00512889850982294,0.00414915656237286,0.00440743866972869,0.00489720419109526,0.00467369429466565
3.0060120240481,0.00568518381120234,0.00518354875973305,0.0042069102910642,0.0044635603059379,0.00495978273212447,0.00473782376364881
3.12625250501002,0.00574346774435007,0.00524032219835464,0.00426717002258343,0.00452190600300741,0.00502488742407125,0.00480435885691873
3.24649298597194,0.00580403302970319,0.00529947459910015,0.00432985442633073,0.00458254647371741,0.00509233041876161,0.0048733448993717
3.36673346693387,0.00586700633350118,0.00536084879862038,0.00439506096529275,0.00464559206175487,0.00516213246695721,0.00494473169742984
3.48697394789579,0.00593236324616821,0.00542451260625417,0.00446267036932383,0.0047108336384409,0.00523434476794583,0.0050185327451868
3.60721442885772,0.00599998656286757,0.00549057022012225,0.00453281421153062,0.00477840566351625,0.00530888261324116,0.00509479940236897
3.72745490981964,0.0060699660439798,0.00555882967762809,0.00460545788454375,0.0048482795094181,0.00538579707043426,0.00517345466157722
3.84769539078156,0.00614236277332828,0.00562941646684414,0.00468080000827946,0.00492041709896901,0.00546500772264898,0.00525441033987722
3.96793587174349,0.00621703588993724,0.00570230480781659,0.00475857912275793,0.00499492491665019,0.00554652798203088,0.00533774538078044
4.08817635270541,0.00629416096742302,0.00577745954956074,0.00483879227076422,0.00507163202929161,0.00563037916783395,0.00542341025502731
4.20841683366733,0.00637359129600216,0.00585497890440956,0.00492153276715468,0.0051507395410738,0.0057165490871171,0.00551135673887983
4.32865731462926,0.00645541576849949,0.00593470376108785,0.00500684612558718,0.00523204612202746,0.00580498856886776,0.00560162871257582
4.44889779559118,0.00653966866583777,0.00601681982127236,0.00509464936159608,0.00531583404519999,0.00589560372538772,0.00569417390095695
4.56913827655311,0.00662623306958544,0.00610116987482993,0.00518498758249404,0.00540185741444916,0.00598841499971911,0.00578894255397162
4.68937875751503,0.00671519631251539,0.006187951311261,0.00527795314813584,0.00549010789246378,0.00608358050186422,0.00588608290653222
4.80961923847695,0.00680645732867245,0.00627696295004135,0.0053734176359462,0.00558065407664031,0.00618094579765436,0.00598541321947056
4.92985971943888,0.00690019658978174,0.00636819327470214,0.00547146306614916,0.00567356770247074,0.0062804603495809,0.00608684752922696
5.0501002004008,0.00699620815525498,0.00646170150742376,0.00557199877814601,0.00576881235106631,0.00638210795808531,0.00619042658646352
5.17034068136273,0.00709463417815012,0.00655758539872551,0.00567506199222528,0.0058662445949751,0.00648590178619859,0.00629629252085884
5.29058116232465,0.00719534613623307,0.00665573875882054,0.00578074168083635,0.00596603334626557,0.00659185311049396,0.00640423365182417
5.41082164328657,0.00729845791461533,0.00675608859152531,0.00588890166450047,0.0060681070654322,0.00669987974463473,0.00651436291670428
5.5310621242485,0.00740383989757533,0.00685871946330792,0.00599947698276497,0.00617242115257678,0.00680996457772696,0.00662652148817281
5.65130260521042,0.00751154150360988,0.00696358958208243,0.00611258515320196,0.00627900447415941,0.00692230081918767,0.00674082287483436
5.77154308617235,0.00762158240348029,0.00707065010916979,0.0062281260081445,0.00638784730106015,0.00703659639134553,0.00685710855827149
5.89178356713427,0.00773395193776312,0.00717998506256097,0.00634608651371698,0.00649913261131575,0.00715288898357533,0.00697545399886905
6.01202404809619,0.00784867659440754,0.00729145254014835,0.00646677477597286,0.00661256501501364,0.00727119606881856,0.00709577165229619
6.13226452905812,0.00796558350866433,0.00740523760671447,0.00658976419342788,0.00672815964165641,0.00739146269675373,0.00721817018702607
6.25250501002004,0.00808468237716362,0.00752112565116898,0.0067151185095487,0.0068459744323565,0.00751384121815532,0.00734256786365702
6.37274549098196,0.00820604302208778,0.00763908770928777,0.00684277182572663,0.00696595992415146,0.00763818792180681,0.00746876720543873
6.49298597194389,0.00832961538131073,0.00775916726172574,0.00697286978815586,0.00708820453807274,0.00776444051445677,0.00759683249257155
6.61322645290581,0.00845550421482519,0.00788130796440345,0.00710525434310487,0.00721274420376453,0.0078925735727345,0.00772680279016399
6.73346693386774,0.00858354364271791,0.00800561653686005,0.00723998527130898,0.00733938070100598,0.00802259873366009,0.00785864766055402
6.85370741482966,0.00871370689605432,0.00813204800803788,0.00737703689275715,0.0074681217259712,0.00815449017989459,0.00799244810644766
6.97394789579158,0.0088459901729747,0.00826047351980468,0.00751628327546458,0.00759894513532361,0.00828815707922308,0.00812791392321724
7.09418837675351,0.00898027703468435,0.00839082394874262,0.00765768503743199,0.00773186430568312,0.00842363579705199,0.00826517554542238
7.21442885771543,0.00911668263391169,0.00852309740072119,0.00780148468296978,0.00786685096795507,0.00856097608785285,0.00840412579106253
7.33466933867735,0.0092550841835378,0.00865729410597766,0.00794733241883568,0.00800387874410358,0.00870008131339067,0.00854469775833372
7.45490981963928,0.00939553751261036,0.00879337548053353,0.00809517788798857,0.00814299616355037,0.00884092322282549,0.0086869885756467
7.5751503006012,0.00953789068796301,0.00893130456285801,0.00824520785530304,0.00828406444319864,0.00898355112153295,0.00883086080955085
7.69539078156313,0.00968222273111946,0.00907111368641866,0.00839704749369585,0.00842708688569026,0.00912783037793721,0.00897637808676946
7.81563126252505,0.00982843391541569,0.00921266150616831,0.00855091816153446,0.00857217725377874,0.00927383355060393,0.00912340537509107
7.93587174348697,0.00997655228223956,0.00935593894841101,0.00870658787614494,0.00871901752685027,0.00942139552377312,0.00927196661404254
