channel,tau_star,A_free,B_free,R2_free,RMSE_free,trough_amp_free,t_trough_free,A_lock,B_lock,R2_lock,RMSE_lock,dR2
Fp1,11.2,-161.353184627907,-91.2544115697024,0.76354852445911,2.6355308535472,-21.8367789427472,29.1525167291664,-426.811068087305,-58.3048562255969,0.641644844669631,9.36128266863633,0.121903679789479
Fp2,2.5,-459.182127628669,-50.011267942967,0.438968604922988,15.2352840986154,-62.1435432998163,23.6530678673579,-384.981592671374,-59.4734199617598,0.429220596019712,13.0293889121991,0.00974800890327565
AF7,12.7,-106.615321882194,-66.7344669456708,0.561661623978744,2.7646909904894,-14.4288147842893,30.1006975674092,-269.285125118296,-45.9626052611004,0.536282060086348,7.34907858135712,0.0253795638923959
AF3,4.9,-215.415662831191,-31.4597908480787,0.507588346298642,6.22698863606073,-29.1533397428619,25.1701572085465,-241.674301128746,-28.0988647432333,0.506361869378318,7.003167858569,0.00122647692032385
AFz,11.8,-101.765847288767,-40.6992458304024,0.502493079660503,2.97223058703635,-13.7725097666391,29.5317890644635,-209.524115909954,-26.1995038476689,0.438921580012041,6.9525247726422,0.0635714996484623
AF4,2.5,-241.967369611862,-23.0373333825935,0.415786586469326,8.41775065176006,-32.7467225004395,23.6530678673579,-207.777942458099,-27.4974018788929,0.410953337575966,7.30076295170069,0.00483324889335934
AF8,14.4,-136.526379286604,-57.6043491049332,0.754552792055601,2.28582053447708,-18.4768362100217,31.1753025174178,-309.035763488767,-34.5911854132915,0.54899321675573,8.2206659653317,0.205559575299871
F7,7.2,-72.1066774779005,-22.1244782841685,0.738469303796459,1.25942593671032,-9.75857761972274,26.6240344938522,-140.674501244236,-13.9494246474669,0.709599848308252,2.64117549338424,0.0288694554882074
F5,12.9,-75.9833288818295,-23.4914404188985,0.830614093683204,1.00721045218556,-10.2832253354831,30.2271216791749,-163.676460578668,-12.2149417467811,0.659634712837829,3.45062144559181,0.170979380845375
F3,3.5,-127.5832732289,-14.1271307553742,0.603025124011615,3.03806560931604,-17.2665184186873,24.2851884261865,-120.516500426372,-14.9981507604448,0.602692499026728,2.87178692281335,0.000332624984887508
F1,5.4,-96.1541141838918,-12.2747842033276,0.473396047507008,2.97640209152129,-13.0130442774426,25.4862174879608,-110.969242680314,-10.3197717952526,0.468724771896856,3.46731792374347,0.00467127561015213
Fz,7.2,-66.1437579499392,-12.9950042147434,0.494569775869071,1.96249121349891,-8.95158421648897,26.6240344938522,-92.1493649439232,-9.58039958108284,0.477866236312339,2.82696397805082,0.0167035395567319
F2,15,-48.6161243007076,-12.8996922713858,0.480901726881434,1.48279648746894,-6.57947695210263,31.5545748527149,-92.2597526789281,-6.5998058958646,0.405913775992332,3.2757469402792,0.0749879508891013
F4,2.5,-132.149401992285,-10.4594269108429,0.488966430377795,3.96496286333182,-17.8844767481748,23.6530678673579,-113.174479941206,-12.891993673901,0.484424798689335,3.42666419138207,0.00454163168846
F6,13.9,-49.1091231251366,-23.0247573005555,0.475663714515818,1.51355516989794,-6.64619708764205,30.8592422380035,-139.820277714194,-11.166795988209,0.459736557415659,4.44844928712732,0.0159271571001588
F8,15,-73.5711746757402,-16.4960751847377,0.790661756732278,1.11132530267215,-9.95677576279161,31.5545748527149,-161.996040446741,-4.51692787815641,0.539118242922151,4.39589547181512,0.251543513810127
FT9,4.8,-101.575273526545,9.67574252714609,0.883203941107424,1.07221149178309,-13.7467184125514,25.1069451526636,-103.809672460921,10.0228084233317,0.870531547103248,1.17494558946077,0.0126723940041766
FT7,8.4,-72.2903783583809,-0.572390445892066,0.860244362414406,0.855193034647389,-9.78343883041338,27.3825791644464,-113.581249313954,4.64876032780922,0.748066154489881,1.93450612292301,0.112178207924526
FC5,6.4,-76.4255519040163,-0.200125040581802,0.828451462430191,1.02069620716374,-10.3430737134445,26.1183380467893,-92.2621137217293,1.85485040572539,0.779978116296552,1.43815383197547,0.0484733461336387
FC3,5.4,-58.9620530826704,-1.14732254012061,0.707491189735656,1.11269347536879,-7.97964615415539,25.4862174879608,-66.3962679329882,-0.180840825595431,0.691708251445678,1.3009282766219,0.0157829382899781
FC1,3.5,-32.9456965918268,-0.157378835567461,0.359120311580578,1.29168484665295,-4.45871517968239,24.2851884261865,-32.2506997378438,-0.258589352013339,0.357697388691188,1.26835642530508,0.00142292288938983
FC2,3.7,-19.4978643913526,-0.241154761837763,0.226126921672495,1.05860920653529,-2.63874899991277,24.4116125379522,-19.2864890979162,-0.274400010652908,0.225921369814185,1.04774903934778,0.000205551858310171
